dc_location,service_type,service_use_duration,size_gb,tier,adpe,adpf,ap,ctue,gwp,ir,pm,pocp,mips,wp,pe,fe
France,Storage (1 year),1,10,devices,4.14e-08,0.0217,4.34e-06,0.0111,0.000715,0.00237,3.67e-11,1.88e-06,0.00284,0.000725,0.0175,0.0033
France,Storage (1 year),1,10,network,1.09e-05,32.1,0.00111,1.11,0.238,4.44,3.82e-08,0.00056,0.909,0.0,33.1,8.51
France,Storage (1 year),1,10,datacenter,1.22e-05,49.4,0.00487,12.8,0.874,5.83,6.72e-08,0.00201,3.01,0.494,54.1,12.1
France,Storage (1 year),1,10,total,2.31e-05,81.5,0.00598,13.9,1.11,10.3,1.05e-07,0.00257,3.93,0.495,87.2,20.6
France,Storage (1 year),1,10,devices,4.14e-08,0.0217,4.34e-06,0.0111,0.000715,0.00237,3.67e-11,1.88e-06,0.00284,0.000725,0.0175,0.0033
France,Storage (1 year),1,10,network,1.09e-05,32.1,0.00111,1.11,0.238,4.44,3.82e-08,0.00056,0.909,0.0,33.1,8.51
France,Storage (1 year),1,10,datacenter,1.22e-05,49.4,0.00487,12.8,0.874,5.83,6.72e-08,0.00201,3.01,0.494,54.1,12.1
France,Storage (1 year),1,10,total,2.31e-05,81.5,0.00598,13.9,1.11,10.3,1.05e-07,0.00257,3.93,0.495,87.2,20.6
France,Storage (1 year),1,50,devices,4.14e-08,0.0217,4.34e-06,0.0111,0.000715,0.00237,3.67e-11,1.88e-06,0.00284,0.000725,0.0175,0.0033
France,Storage (1 year),1,50,network,5.44e-05,160.0,0.00556,5.57,1.19,22.2,1.91e-07,0.0028,4.54,0.0,166.0,42.6
France,Storage (1 year),1,50,datacenter,6.1e-05,247.0,0.0243,64.1,4.37,29.1,3.36e-07,0.0101,15.1,2.47,270.0,60.4
France,Storage (1 year),1,50,total,0.000115,407.0,0.0299,69.7,5.56,51.3,5.27e-07,0.0129,19.6,2.47,436.0,103.0
France,Storage (1 year),1,1,devices,4.14e-08,0.0217,4.34e-06,0.0111,0.000715,0.00237,3.67e-11,1.88e-06,0.00284,0.000725,0.0175,0.0033
France,Storage (1 year),1,1,network,1.09e-06,3.21,0.000111,0.111,0.0238,0.444,3.82e-09,5.6e-05,0.0909,0.0,3.31,0.851
France,Storage (1 year),1,1,datacenter,1.22e-06,4.94,0.000487,1.28,0.0874,0.583,6.72e-09,0.000201,0.301,0.0494,5.41,1.21
France,Storage (1 year),1,1,total,2.35e-06,8.17,0.000602,1.4,0.112,1.03,1.06e-08,0.000259,0.395,0.0501,8.74,2.06
